,name,position,height,weight,experience,country
35,Alexis Ajinça,Center and Power Forward,218,112,7,France
36,Henry Akin,Power Forward and Center,208,102,3,Michigan
37,Josh Akognon,Point Guard,180,83,1,California
38,DeVaughn Akoon-Purcell,Shooting Guard,198,90,1,Florida
39,Solomon Alabi,Center,216,113,2,Nigeria
40,Mark Alarie,Power Forward,203,98,5,Arizona
41,Gary Alcorn,Center,206,102,2,California
42,Furkan Aldemir,Power Forward,208,108,1,Turkey
43,Cole Aldrich,Center,211,113,8,Minnesota
44,LaMarcus Aldridge,Power Forward and Center,211,113,15,Texas
45,Chuck Aleksinas,Center,211,117,1,Connecticut
46,Cliff Alexander,Power Forward,203,111,1,Illinois
47,Cory Alexander,Point Guard and Shooting Guard,185,83,7,Virginia
48,Courtney Alexander,Point Guard and Shooting Guard,196,92,3,Connecticut
49,Gary Alexander,Power Forward,201,108,1,Florida
50,Joe Alexander,Small Forward,203,104,2,Taiwan
51,Kyle Alexander,Center,211,99,1,Canada
52,Ty-Shon Alexander,Shooting Guard,190,88,1,North Carolina
53,Victor Alexander,Center,206,120,5,Michigan
54,Nickeil Alexander-Walker,Shooting Guard,198,92,2,Canada
55,Steve Alford,Point Guard,188,83,4,Indiana
56,Rawle Alkins,Shooting Guard,196,102,1,New York
57,Bill Allen,Center,203,92,1,
58,Bob Allen,Power Forward,206,92,1,
59,Grayson Allen,Shooting Guard,193,89,3,Florida
60,Jarrett Allen,Center,211,110,4,Texas
61,Jerome Allen,Shooting Guard,193,83,2,Pennsylvania
62,Kadeem Allen,Point Guard,185,90,3,North Carolina
63,Lavoy Allen,Power Forward and Center,206,117,6,Pennsylvania
64,Lucius Allen,Point Guard,188,79,10,Kansas
65,Malik Allen,Power Forward,208,115,10,New Jersey
66,Randy Allen,Shooting Guard,203,99,2,Florida
67,Ray Allen,Shooting Guard,196,92,18,California
68,Tony Allen,Shooting Guard,193,96,14,Illinois
69,Willie Allen,Power Forward,198,104,1,
70,Odis Allison,Small Forward,198,88,1,
71,Lance Allred,Center,211,113,1,Utah
72,Darrell Allums,Power Forward,206,99,1,California
73,Morris Almond,Shooting Guard,198,102,3,Georgia
74,Derrick Alston,Center,211,102,3,New York
75,Rafer Alston,Point Guard,188,77,11,New York
76,Peter Aluma,Center,208,117,1,Nigeria
77,John Amaechi,Center and Power Forward,208,122,5,Massachusetts
78,Ashraf Amaya,Power Forward,203,104,2,Illinois
79,Al-Farouq Aminu,Small Forward and Power Forward,203,99,11,Georgia
80,Lou Amundson,Power Forward,206,99,10,California
81,Bob Anderegg,Small Forward,190,90,1,Wisconsin
82,Chris Andersen,Center and Power Forward,208,111,15,California
83,David Andersen,Power Forward and Center,211,111,2,Australia
84,Alan Anderson,Small Forward and Shooting Guard,198,99,8,Minnesota
85,Andrew Anderson,Shooting Guard and Point Guard,188,83,3,New York
86,Antonio Anderson,Small Forward,198,97,1,Massachusetts
87,Cliff Anderson,Shooting Guard,188,90,4,
88,Dan Anderson,Center,208,104,2,Minnesota
89,Dan Anderson,Shooting Guard and Point Guard,188,83,2,
90,Derek Anderson,Shooting Guard,196,87,11,Kentucky
91,Dwight Anderson,Point Guard,190,83,1,Ohio
92,Eric Anderson,Power Forward,206,99,2,Illinois
93,Greg Anderson,Power Forward and Center,208,104,10,Texas
94,J.J. Anderson,Small Forward,203,88,3,Illinois
95,James Anderson,Shooting Guard and Small Forward,198,96,5,Arkansas
96,Jerome Anderson,Shooting Guard,196,88,2,West Virginia
97,Justin Anderson,Small Forward and Shooting Guard,198,104,5,Virginia
98,Kenny Anderson,Point Guard,183,76,14,New York
99,Kim Anderson,Small Forward,201,90,1,Missouri
100,Kyle Anderson,Small Forward and Power Forward,206,104,7,New Jersey
101,Michael Anderson,Point Guard,180,83,1,Pennsylvania
102,Nick Anderson,Shooting Guard and Small Forward,198,92,13,Illinois
103,Richard Anderson,Power Forward and Center,208,108,6,California
104,Ron Anderson,Small Forward,201,97,10,Illinois
105,Ryan Anderson,Power Forward and Center,206,108,12,California
106,Shandon Anderson,Shooting Guard and Small Forward,198,94,10,Georgia
107,Willie Anderson,Shooting Guard and Small Forward,201,86,9,South Carolina
108,Wally Anderzunas,Small Forward,201,99,1,
109,Martynas Andriuškevičius,Center,218,108,1,Lithuania
110,Don Anielak,Forward,201,86,1,Missouri
111,Ike Anigbogu,Center,208,113,2,California
112,Michael Ansley,Small Forward,201,102,3,Alabama
113,Chris Anstey,Center,213,112,3,Australia
114,Giannis Antetokounmpo,Power Forward,211,109,8,Greece
115,Kostas Antetokounmpo,Power Forward,208,90,3,Greece
116,Thanasis Antetokounmpo,Small Forward,198,99,3,Greece
117,Carmelo Anthony,Small Forward and Power Forward,201,107,18,New York
118,Cole Anthony,Point Guard,188,83,1,Oregon
119,Greg Anthony,Point Guard,183,79,11,Nevada
120,Joel Anthony,Center and Power Forward,206,111,10,Canada
121,Pero Antić,Center,211,117,2,Macedonia
122,OG Anunoby,Small Forward,201,105,4,United Kingdom
123,Keith Appling,Point Guard,185,83,1,Michigan
124,Rafael Araújo,Center,211,127,3,Brazil
125,Stacey Arceneaux,Forward,193,95,1,
126,Robert Archibald,Power Forward and Center,211,113,2,United Kingdom
127,Tiny Archibald,Point Guard,185,68,13,New York
128,Ryan Arcidiacono,Point Guard,190,88,4,Pennsylvania
129,Jim Ard,Center,203,97,8,Illinois
130,Gilbert Arenas,Point Guard,190,86,11,Florida
131,Trevor Ariza,Small Forward and Shooting Guard,203,97,17,Florida
132,Paul Arizin,Small Forward,193,86,10,Pennsylvania
133,Joe Arlauckas,Small Forward,206,104,1,New York
134,B.J. Armstrong,Point Guard,188,79,11,Michigan
135,Bob Armstrong,Center,203,99,1,Michigan
136,Brandon Armstrong,Shooting Guard,196,85,3,California
137,Curly Armstrong,Guard,180,77,3,Indiana
138,Darrell Armstrong,Point Guard,183,77,14,North Carolina
139,Hilton Armstrong,Center and Power Forward,211,106,6,New York
140,Tate Armstrong,Shooting Guard,190,79,2,Georgia
141,Jesse Arnelle,Power Forward,196,99,1,New York
142,Jay Arnette,Shooting Guard and Point Guard,188,79,3,Texas
143,Bob Arnzen,Small Forward,196,92,4,Kentucky
144,Carlos Arroyo,Point Guard and Shooting Guard,188,91,9,Puerto Rico
145,Darrell Arthur,Power Forward and Small Forward,206,106,9,Texas
146,John Arthurs,Guard,193,83,1,
147,Jamel Artis,Shooting Guard,201,96,1,Maryland
148,Ömer Aşık,Center,213,115,8,Turkey
149,Vincent Askew,Shooting Guard,198,95,9,Tennessee
150,Keith Askins,Small Forward,201,89,9,Alabama
151,Don Asmonga,Guard,188,83,1,Pennsylvania
152,Dick Atha,Shooting Guard,188,86,2,Indiana
153,Chucky Atkins,Point Guard and Shooting Guard,180,72,11,Florida
154,Al Attles,Point Guard,183,79,11,New Jersey
155,Chet Aubuchon,Guard,178,62,1,Indiana
156,Stacey Augmon,Shooting Guard and Small Forward,203,92,15,California
157,D.J. Augustin,Point Guard,180,83,13,Louisiana
158,James Augustine,Power Forward,208,106,2,Illinois
159,Isaac Austin,Center,208,115,9,California
160,Johnny Austin,Shooting Guard,183,77,2,District of Columbia
161,Ken Austin,Small Forward,206,92,1,California
162,Deni Avdija,Small Forward,206,95,1,Israel
163,Anthony Avent,Power Forward,206,106,6,North Carolina
164,Bird Averitt,Shooting Guard,185,77,5,Kentucky
165,William Avery,Point Guard,188,89,3,Georgia
166,Dennis Awtrey,Center,208,106,12,California
167,Gustavo Ayón,Center and Power Forward,208,113,3,Mexico
168,Jeff Ayres,Power Forward and Center,206,108,6,California
169,Deandre Ayton,Center,211,113,3,Bahamas
170,Kelenna Azubuike,Shooting Guard and Small Forward,196,99,5,United Kingdom
171,Udoka Azubuike,Center,208,127,1,Nigeria
172,Chris Babb,Shooting Guard,196,102,1,Texas
173,Luke Babbitt,Small Forward and Power Forward,206,102,8,Ohio
174,Miloš Babić,Power Forward and Center,213,108,2,Serbia
175,Johnny Bach,Forward,188,81,1,New York
176,Dwayne Bacon,Shooting Guard,198,100,4,Florida
177,Henry Bacon,Shooting Guard,190,92,1,Kentucky
178,Jim Baechtold,Small Forward,193,92,5,Pennsylvania
179,Dalibor Bagarić,Center,216,115,3,Germany
180,John Bagley,Point Guard,183,83,11,Connecticut
181,Marvin Bagley III,Power Forward and Center,211,106,3,Arizona
182,Carl Bailey,Center,213,95,1,Alabama
183,Gus Bailey,Shooting Guard,196,83,5,North Carolina
184,James Bailey,Power Forward,206,99,9,Georgia
185,Thurl Bailey,Power Forward and Small Forward,211,97,12,District of Columbia
186,Toby Bailey,Shooting Guard,198,96,2,California
187,Cameron Bairstow,Power Forward and Center,206,113,2,Australia
188,Jimmie Baker,Power Forward,206,99,1,Pennsylvania
189,Mark Baker,Point Guard,185,79,1,Ohio
190,Maurice Baker,Point Guard,185,79,1,Illinois
191,Norm Baker,Guard,183,81,1,Canada
192,Ron Baker,Shooting Guard,193,99,3,Kansas
193,Vin Baker,Power Forward and Center,211,105,13,Florida
194,Wade Baldwin,Point Guard,193,90,3,New Jersey
195,Renaldo Balkman,Small Forward and Power Forward,203,94,6,New York
196,Cedric Ball,Power Forward,203,95,1,Massachusetts
197,LaMelo Ball,Point Guard,198,81,1,California
198,Lonzo Ball,Point Guard,198,86,4,California
199,Greg Ballard,Small Forward,201,97,11,California
200,Herschel Baltimore,Forward,193,88,1,Pennsylvania
201,Mo Bamba,Center,213,104,3,New York
202,Desmond Bane,Shooting Guard,196,97,1,Indiana
203,Gene Banks,Small Forward and Power Forward,201,97,6,Pennsylvania
204,Marcus Banks,Point Guard,188,90,8,Nevada
205,Walker Banks,Center,208,92,1,
206,Ken Bannister,Power Forward,206,106,5,Maryland
207,Mike Bantom,Small Forward and Power Forward,206,90,9,Pennsylvania
208,John Barber,Forward,198,95,1,
209,Leandro Barbosa,Shooting Guard and Point Guard,190,87,14,Brazil
210,Steve Bardo,Shooting Guard,196,86,3,Kentucky
211,J.J. Barea,Point Guard and Shooting Guard,178,81,14,Puerto Rico
212,Andrea Bargnani,Power Forward and Center,213,111,10,Italy
213,Cliff Barker,Shooting Guard,188,83,3,Indiana
214,Tom Barker,Center,211,102,2,Texas
215,Charles Barkley,Power Forward and Small Forward,198,114,16,Alabama
216,Erick Barkley,Point Guard,185,80,2,New York
217,Don Barksdale,Power Forward and Small Forward,198,90,4,California
218,Harrison Barnes,Small Forward and Power Forward,203,102,9,Iowa
219,Harry Barnes,Small Forward,190,92,1,
220,Jim Barnes,Power Forward and Center,203,95,7,Arkansas
221,Marvin Barnes,Power Forward,203,95,6,Rhode Island
222,Matt Barnes,Small Forward and Power Forward,201,102,14,California
223,Dick Barnett,Shooting Guard,193,86,14,Indiana
224,Jim Barnett,Shooting Guard and Point Guard,193,77,11,South Carolina
225,Nathaniel Barnett,Point Guard,190,79,1,
226,John Barnhill,Point Guard and Shooting Guard,185,81,10,Kentucky
227,Norton Barnhill,Shooting Guard,193,92,1,North Carolina
228,Leo Barnhorst,Small Forward,193,86,5,Indiana
229,John Barr,Forward,190,92,1,Pennsylvania
230,Mike Barr,Shooting Guard,190,81,5,Ohio
231,Moe Barr,Guard,193,88,1,Pennsylvania
232,Andre Barrett,Point Guard,178,78,4,New York
233,Ernie Barrett,Shooting Guard,190,81,2,Kansas
234,Mike Barrett,Shooting Guard and Point Guard,188,70,4,West Virginia
235,RJ Barrett,Shooting Guard,198,97,2,Canada
236,Earl Barron,Center,213,113,8,Mississippi
237,Dana Barros,Point Guard and Shooting Guard,180,73,14,Massachusetts
238,Brent Barry,Shooting Guard and Small Forward,198,83,14,New York
239,Drew Barry,Point Guard and Shooting Guard,196,86,3,California
240,Jon Barry,Shooting Guard,193,88,14,California
241,Rick Barry,Small Forward,201,92,14,New Jersey
242,Ed Bartels,Forward,196,88,2,New York
243,Vic Bartolome,Center,213,104,1,
244,Will Barton,Shooting Guard and Small Forward,198,82,9,Maryland
245,Eddie Basden,Small Forward,196,97,1,New York
246,Jerry Baskerville,Small Forward,201,86,1,Pennsylvania
247,Brandon Bass,Power Forward and Center,203,113,12,Louisiana
248,Tim Bassett,Power Forward,203,102,7,District of Columbia
249,Maceo Baston,Power Forward,206,97,4,Texas
250,Mengke Bateer,Center,211,131,3,China
251,Billy Ray Bates,Shooting Guard,193,95,4,Mississippi
252,Keita Bates-Diop,Small Forward and Power Forward,203,103,3,Illinois
253,Esteban Batista,Power Forward,208,122,2,Uruguay
254,Mike Batiste,Power Forward,203,102,1,California
255,Tony Battie,Center and Power Forward,211,104,14,Texas
256,Shane Battier,Small Forward and Shooting Guard,203,99,13,Michigan
257,John Battle,Shooting Guard,188,79,10,District of Columbia
258,Kenny Battle,Shooting Guard,198,95,4,Illinois
259,Dave Batton,Center,208,108,2,Maryland
260,Lloyd Batts,Shooting Guard,193,83,1,Illinois
261,Nicolas Batum,Small Forward and Shooting Guard,203,104,13,France
262,Johnny Baum,Small Forward,196,90,5,Pennsylvania
263,Frankie Baumholtz,Guard,178,77,1,Ohio
264,Lonny Baxter,Power Forward and Center,203,117,4,Maryland
265,Jerryd Bayless,Point Guard and Shooting Guard,190,90,11,Arizona
266,Elgin Baylor,Small Forward,196,102,14,District of Columbia
267,Howard Bayne,Power Forward,198,106,1,Ohio
268,Aron Baynes,Center,208,117,9,New Zealand
269,Sergei Bazarevich,Point Guard,188,76,1,Russia
270,Kent Bazemore,Shooting Guard and Small Forward,193,88,9,North Carolina
271,Darius Bazley,Power Forward,203,94,2,Massachusetts
272,Ed Beach,Forward,190,90,1,New Jersey
273,Bradley Beal,Shooting Guard,190,93,9,Missouri
274,Al Beard,Center,206,90,1,Georgia
275,Butch Beard,Point Guard,190,83,9,Kentucky
276,Ralph Beard,Guard,178,79,2,Kentucky
277,Charles Beasley,Shooting Guard,196,86,4,Oklahoma
278,Jerome Beasley,Power Forward,208,107,1,California
279,John Beasley,Power Forward and Center,206,102,7,Texas
280,Malik Beasley,Shooting Guard,193,84,5,Georgia
281,Michael Beasley,Power Forward and Small Forward,206,106,11,Maryland
282,Zelmo Beaty,Center and Power Forward,206,102,12,Texas
283,Rodrigue Beaubois,Point Guard,183,77,4,Guadeloupe
284,Byron Beck,Center and Power Forward,206,102,10,Washington
285,Corey Beck,Point Guard,185,86,3,Tennessee
286,Ernie Beck,Shooting Guard,193,86,7,Pennsylvania
287,Arthur Becker,Power Forward and Small Forward,201,92,6,Ohio
288,Moe Becker,Guard,185,83,1,Pennsylvania
289,Bob Bedell,Power Forward,201,92,4,California
290,William Bedford,Center,213,102,6,Tennessee
291,Hank Beenders,Center,198,83,3,Netherlands
292,Ron Behagen,Power Forward,206,83,7,New York
293,Elmer Behnke,Center,201,95,1,Illinois
294,Marco Belinelli,Shooting Guard and Small Forward,196,99,13,Italy
295,Charlie Bell,Shooting Guard,190,90,7,Michigan
296,Dennis Bell,Small Forward,196,83,3,Ohio
297,Jordan Bell,Center,203,97,4,California
298,Raja Bell,Shooting Guard,196,92,12,U.S. Virgin Islands
299,Troy Bell,Point Guard,185,81,1,Minnesota
300,Whitey Bell,Point Guard,183,81,2,Kentucky
301,Walt Bellamy,Center,211,102,14,North Carolina
302,DeAndre' Bembry,Small Forward and Shooting Guard,196,95,5,North Carolina
303,Irv Bemoras,Small Forward,190,83,2,Illinois
304,Leon Benbow,Shooting Guard,193,83,2,South Carolina
305,Dragan Bender,Power Forward and Center,213,102,4,Bosnia and Herzegovina
306,Jonathan Bender,Small Forward,211,91,8,Mississippi
307,Jerrelle Benimon,Power Forward,203,111,1,Virginia
308,Benoit Benjamin,Center,213,113,15,Louisiana
309,Corey Benjamin,Shooting Guard and Point Guard,198,90,4,California
310,Anthony Bennett,Power Forward,203,111,4,Canada
311,Elmer Bennett,Point Guard,183,77,3,Illinois
312,Mario Bennett,Power Forward and Small Forward,198,106,4,Texas
313,Mel Bennett,Power Forward,201,90,5,Pennsylvania
314,Spider Bennett,Point Guard,190,86,1,New Jersey
315,Tony Bennett,Point Guard,183,79,3,Wisconsin
316,Winston Bennett,Small Forward,201,95,3,Kentucky
317,David Benoit,Small Forward,203,99,7,Louisiana
318,Keith Benson,Center,211,108,1,Ohio
319,Kent Benson,Center,208,106,11,Indiana
320,Ben Bentil,Power Forward,206,106,1,Ghana
321,Gene Berce,Guard,180,79,1,Wisconsin
322,Gary Bergen,Center,203,95,1,Missouri
323,Larry Bergh,Power Forward,203,95,1,
324,Ricky Berry,Shooting Guard,203,92,1,Michigan
325,Walter Berry,Power Forward and Small Forward,203,97,3,New York
326,Dairis Bertāns,Shooting Guard,193,90,1,Latvia
327,Dāvis Bertāns,Power Forward,208,102,5,Latvia
328,Del Beshore,Point Guard,180,74,2,Pennsylvania
329,Travis Best,Point Guard,180,82,10,Massachusetts
330,Patrick Beverley,Point Guard and Shooting Guard,185,81,9,Illinois
331,Saddiq Bey,Small Forward,201,97,1,North Carolina
332,Tyler Bey,Small Forward,201,97,1,Nevada
333,Sim Bhullar,Center,226,163,1,Canada
334,Wesley Bialosuknia,Shooting Guard,188,83,1,New York
335,Al Bianchi,Point Guard and Shooting Guard,190,83,10,New York
336,Hank Biasatti,Guard,180,79,1,Italy
337,Henry Bibby,Point Guard,185,83,9,North Carolina
338,Mike Bibby,Point Guard,185,86,14,New Jersey
339,Ed Biedenbach,Guard,185,79,1,Pennsylvania
340,Andris Biedriņš,Center,211,108,10,Latvia
341,Don Bielke,Center,201,108,1,Minnesota
342,Bob Bigelow,Small Forward,201,97,4,Massachusetts
343,Lionel Billingy,Power Forward,206,97,1,
344,Chauncey Billups,Point Guard and Shooting Guard,190,91,17,Colorado
345,Dave Bing,Point Guard and Shooting Guard,190,81,12,District of Columbia
346,Joe Binion,Power Forward,203,106,1,New York
347,Khem Birch,Center,206,105,4,Canada
348,Jabari Bird,Shooting Guard,198,89,1,California
349,Jerry Bird,Forward,198,95,1,Kentucky
350,Larry Bird,Small Forward and Power Forward,206,99,13,Indiana
351,Otis Birdsong,Shooting Guard,190,86,12,Florida
352,Gale Bishop,Forward,190,88,1,Washington
353,Goga Bitadze,Center,211,113,2,Georgia
354,Bismack Biyombo,Center,203,115,10,Democratic Republic of the Congo
355,Nemanja Bjelica,Power Forward,208,106,6,Serbia
356,Uwe Blab,Center,216,114,5,Germany
357,Charlie Black,Forward,196,90,3,Idaho
358,Norman Black,Shooting Guard,196,83,1,Maryland
359,Tarik Black,Center,206,113,4,Tennessee
360,Tom Black,Center,208,99,1,
361,Rolando Blackman,Shooting Guard,198,86,13,Panama
362,Alex Blackwell,Small Forward,198,113,1,New Jersey
363,Cory Blackwell,Small Forward,198,95,1,Illinois
364,James Blackwell,Point Guard,183,86,1,New York
365,Nate Blackwell,Point Guard,193,77,1,Pennsylvania
366,DeJuan Blair,Power Forward and Center,201,122,7,Pennsylvania
367,Steve Blake,Point Guard,190,78,13,Florida
368,Antonio Blakeney,Shooting Guard,193,87,2,New York
369,Will Blalock,Point Guard,183,92,1,Massachusetts
370,George Blaney,Point Guard,185,79,1,New Jersey
371,Lance Blanks,Shooting Guard,193,86,3,Texas
372,Ricky Blanton,Small Forward,201,97,1,Florida
373,Andray Blatche,Power Forward and Center,211,106,9,New York
374,Mookie Blaylock,Point Guard,183,81,13,Texas
375,Eric Bledsoe,Point Guard and Shooting Guard,185,97,11,Alabama
376,Keljin Blevins,Small Forward,193,90,1,Arkansas
377,Leon Blevins,Guard,188,72,1,Arkansas
378,John Block,Power Forward and Center,206,93,10,California
379,Mike Bloom,Forward,198,86,2,New York
380,Jaron Blossomgame,Small Forward,203,99,1,Georgia
381,Corie Blount,Power Forward and Center,206,108,11,California
382,Mark Blount,Center,213,104,9,New York
383,Vander Blue,Shooting Guard,193,90,3,Wisconsin
384,Ray Blume,Shooting Guard,193,83,1,Georgia
385,Nelson Bobb,Point Guard,183,77,4,Pennsylvania
386,Tony Bobbitt,Shooting Guard,193,86,1,Florida
387,Bucky Bockhorn,Shooting Guard,193,90,7,Illinois
388,Tom Boerwinkle,Center,213,120,10,Ohio
389,Keith Bogans,Shooting Guard and Small Forward,196,97,11,Virginia
390,Bogdan Bogdanović,Shooting Guard,198,99,4,Serbia
391,Bojan Bogdanović,Small Forward,201,102,7,Bosnia and Herzegovina
392,Muggsy Bogues,Point Guard,160,61,14,Maryland
393,Andrew Bogut,Center and Power Forward,213,117,14,Australia
394,Etdrick Bohannon,Power Forward and Small Forward,206,99,4,California
395,Bol Bol,Power Forward,218,99,2,Sudan
396,Manute Bol,Center,231,90,10,South Sudan
397,Jonah Bolden,Center and Power Forward,203,99,2,Australia
398,Marques Bolden,Center,208,112,2,Texas
399,Bill Bolger,Small Forward,196,92,1,New York
400,Joel Bolomboy,Power Forward,206,106,2,Ukraine
401,Doug Bolstorff,Guard,193,88,1,
402,George Bon Salle,Power Forward,203,99,1,Illinois
403,Phil Bond,Shooting Guard,188,79,1,Kentucky
404,Walter Bond,Shooting Guard,196,90,3,Illinois
405,Jordan Bone,Point Guard,188,81,2,Tennessee
406,Dexter Boney,Shooting Guard,193,83,1,Delaware
407,Isaac Bonga,Small Forward and Point Guard,203,81,3,Germany
408,Ron Bonham,Small Forward and Shooting Guard,196,87,3,Indiana
409,Anthony Bonner,Power Forward and Small Forward,203,97,6,Missouri
410,Matt Bonner,Power Forward and Center,208,106,12,New Hampshire
411,Butch Booker,Center,208,104,1,
412,Devin Booker,Shooting Guard,196,93,6,Michigan
413,Melvin Booker,Point Guard,185,83,2,Mississippi
414,Trevor Booker,Power Forward,203,103,8,South Carolina
415,Josh Boone,Power Forward and Center,208,107,4,Maryland
416,Ron Boone,Shooting Guard,188,90,13,Oklahoma
417,Calvin Booth,Center,211,104,10,Ohio
418,Keith Booth,Small Forward,198,102,2,Maryland
419,Bob Boozer,Power Forward and Small Forward,203,97,11,Nebraska
420,Carlos Boozer,Power Forward and Center,206,117,13,Germany
421,Curtis Borchardt,Center,213,108,2,New York
422,Jake Bornheimer,Forward,196,90,2,New Jersey
423,Lazaro Borrell,Small Forward,203,99,1,Cuba
424,Ike Borsavage,Center,203,99,1,Pennsylvania
425,Vince Boryla,Small Forward,196,95,5,Indiana
426,Chris Bosh,Center and Power Forward,211,106,13,Texas
427,Jim Bostic,Power Forward,201,102,1,New York
428,Lawrence Boston,Power Forward,203,102,1,Ohio
429,Tom Boswell,Power Forward,206,99,6,Alabama
430,Chris Boucher,Power Forward and Center,206,90,4,Saint Lucia
431,Ruben Boumtje-Boumtje,Center,213,116,3,Cameroon
432,Don Boven,Shooting Guard and Small Forward,193,95,3,Michigan
433,Cal Bowdler,Small Forward and Power Forward,208,111,3,Virginia
434,Brian Bowen,Small Forward,198,86,2,Michigan
435,Bruce Bowen,Small Forward,201,83,13,California
436,Ryan Bowen,Small Forward,201,97,10,Iowa
437,Tommie Bowens,Power Forward,203,99,3,Mississippi
438,Anthony Bowie,Shooting Guard,198,86,8,Oklahoma
439,Sam Bowie,Center,216,106,10,Pennsylvania
440,Orbie Bowling,Center,208,97,1,Kentucky
441,Ira Bowman,Shooting Guard and Point Guard,196,88,3,New Jersey
442,Ky Bowman,Point Guard,185,84,1,North Carolina
443,Nate Bowman,Center,208,104,6,Texas
444,Donnie Boyce,Shooting Guard,196,88,2,Illinois
445,Dennis Boyd,Point Guard,185,79,1,Virginia
446,Freddie Boyd,Point Guard and Shooting Guard,188,81,6,California
447,Ken Boyd,Small Forward,196,88,1,Maryland
448,Earl Boykins,Point Guard and Shooting Guard,165,61,13,Ohio
449,Harry Boykoff,Center,208,102,2,New York
450,Winford Boynes,Shooting Guard,198,83,3,South Carolina
451,Cedric Bozeman,Shooting Guard,198,93,1,California
452,Steve Bracey,Point Guard and Shooting Guard,185,79,3,New York
453,Craig Brackins,Power Forward,208,104,2,California
454,Gary Bradds,Power Forward and Small Forward,203,95,6,Ohio
455,Alex Bradley,Small Forward,198,97,1,Florida
456,Alonzo Bradley,Small Forward,198,86,3,Mississippi
457,Avery Bradley,Shooting Guard and Point Guard,190,81,11,Washington
458,Bill Bradley,Shooting Guard,180,74,1,
459,Bill Bradley,Small Forward,196,92,10,Missouri
460,Charles Bradley,Shooting Guard,196,97,3,Maryland
461,Dudley Bradley,Shooting Guard,198,88,9,Maryland
462,Jim Bradley,Power Forward and Small Forward,203,97,3,Indiana
463,Joe Bradley,Guard,190,79,1,Oklahoma
464,Michael Bradley,Power Forward and Center,208,111,5,Massachusetts
465,Shawn Bradley,Center,229,106,12,Germany
466,Tony Bradley,Center,208,112,4,Florida
467,Mark Bradtke,Center,208,120,1,Australia
468,Marques Bragg,Power Forward,203,104,1,New Jersey
469,Torraye Braggs,Power Forward,203,111,2,California
470,A.J. Bramlett,Center,208,102,1,Illinois
471,Adrian Branch,Small Forward,201,83,4,District of Columbia
472,Elton Brand,Power Forward and Center,203,124,17,New York
473,Terrell Brandon,Point Guard,180,81,11,Oregon
474,Bob Brannum,Power Forward,196,97,5,Kansas
475,Brad Branson,Power Forward,208,99,2,Illinois
476,Jesse Branson,Small Forward,201,88,2,North Carolina
477,Jarrell Brantley,Power Forward,196,113,2,South Carolina
478,Jim Brasco,Guard,185,77,1,New York
479,Mike Bratz,Point Guard,188,83,9,California
480,Carl Braun,Point Guard and Shooting Guard,196,81,13,New York
481,Ignas Brazdeikis,Small Forward,198,100,2,Lithuania
482,Tim Breaux,Small Forward,201,97,3,Louisiana
483,J.R. Bremer,Point Guard,188,83,2,Ohio
484,Pete Brennan,Forward,198,92,1,New York
485,Tom Brennan,Small Forward,190,88,1,New York
486,Randy Breuer,Center,221,104,11,Minnesota
487,Corey Brewer,Small Forward,206,84,13,Tennessee
488,Jamison Brewer,Point Guard and Shooting Guard,193,83,4,Georgia
489,Jim Brewer,Power Forward,206,95,9,Illinois
490,Ron Brewer,Shooting Guard,193,81,8,Arkansas
