,name,position,height,weight,experience,country
35,Alexis Ajinça,Center and Power Forward,218,112,7,France
36,Henry Akin,Power Forward and Center,208,102,3,Michigan
37,Josh Akognon,Point Guard,180,83,1,California
38,DeVaughn Akoon-Purcell,Shooting Guard,198,90,1,Florida
39,Solomon Alabi,Center,216,113,2,Nigeria
40,Mark Alarie,Power Forward,203,98,5,Arizona
41,Gary Alcorn,Center,206,102,2,California
42,Furkan Aldemir,Power Forward,208,108,1,Turkey
43,Cole Aldrich,Center,211,113,8,Minnesota
44,LaMarcus Aldridge,Power Forward and Center,211,113,14,Texas
45,Chuck Aleksinas,Center,211,117,1,Connecticut
46,Cliff Alexander,Power Forward,203,111,1,Illinois
47,Cory Alexander,Point Guard and Shooting Guard,185,83,7,Virginia
0,Courtney Alexander,Point Guard and Shooting Guard,196,92,3,Connecticut
1,Gary Alexander,Power Forward,201,108,1,Florida
2,Joe Alexander,Small Forward,203,104,2,Taiwan
3,Kyle Alexander,Center,211,99,1,Canada
4,Ty-Shon Alexander,Shooting Guard,190,88,0,North Carolina
5,Victor Alexander,Center,206,120,5,Michigan
6,Nickeil Alexander-Walker,Shooting Guard,198,92,1,Canada
7,Steve Alford,Point Guard,188,83,4,Indiana
8,Rawle Alkins,Shooting Guard,196,102,1,New York
9,Bill Allen,Center,203,92,1,
10,Bob Allen,Power Forward,206,92,1,
11,Grayson Allen,Shooting Guard,193,89,2,Florida
12,Jarrett Allen,Center,211,110,3,Texas
13,Jerome Allen,Shooting Guard,193,83,2,Pennsylvania
14,Kadeem Allen,Point Guard,185,90,3,North Carolina
15,Lavoy Allen,Power Forward and Center,206,117,6,Pennsylvania
16,Lucius Allen,Point Guard,188,79,10,Kansas
17,Malik Allen,Power Forward,208,115,10,New Jersey
18,Randy Allen,Shooting Guard,203,99,2,Florida
19,Ray Allen,Shooting Guard,196,92,18,California
20,Tony Allen,Shooting Guard,193,96,14,Illinois
21,Willie Allen,Power Forward,198,104,1,
22,Odis Allison,Small Forward,198,88,1,
23,Lance Allred,Center,211,113,1,Utah
24,Darrell Allums,Power Forward,206,99,1,California
25,Morris Almond,Shooting Guard,198,102,3,Georgia
26,Derrick Alston,Center,211,102,3,New York
27,Rafer Alston,Point Guard,188,77,11,New York
28,Peter Aluma,Center,208,117,1,Nigeria
29,John Amaechi,Center and Power Forward,208,122,5,Massachusetts
30,Ashraf Amaya,Power Forward,203,104,2,Illinois
31,Al-Farouq Aminu,Small Forward and Power Forward,203,99,10,Georgia
32,Lou Amundson,Power Forward,206,99,10,California
33,Bob Anderegg,Small Forward,190,90,1,Wisconsin
34,Chris Andersen,Center and Power Forward,208,111,15,California
35,David Andersen,Power Forward and Center,211,111,2,Australia
36,Alan Anderson,Small Forward and Shooting Guard,198,99,8,Minnesota
37,Andrew Anderson,Shooting Guard and Point Guard,188,83,3,New York
38,Antonio Anderson,Small Forward,198,97,1,Massachusetts
39,Cliff Anderson,Shooting Guard,188,90,4,
40,Dan Anderson,Center,208,104,2,Minnesota
41,Dan Anderson,Shooting Guard and Point Guard,188,83,2,
42,Derek Anderson,Shooting Guard,196,87,11,Kentucky
43,Dwight Anderson,Point Guard,190,83,1,Ohio
44,Eric Anderson,Power Forward,206,99,2,Illinois
45,Greg Anderson,Power Forward and Center,208,104,10,Texas
46,J.J. Anderson,Small Forward,203,88,3,Illinois
47,James Anderson,Shooting Guard and Small Forward,198,96,5,Arkansas
0,Jerome Anderson,Shooting Guard,196,88,2,West Virginia
1,Justin Anderson,Small Forward and Shooting Guard,198,104,5,Virginia
2,Kenny Anderson,Point Guard,183,76,14,New York
3,Kim Anderson,Small Forward,201,90,1,Missouri
4,Kyle Anderson,Small Forward and Power Forward,206,104,6,New Jersey
5,Michael Anderson,Point Guard,180,83,1,Pennsylvania
6,Nick Anderson,Shooting Guard and Small Forward,198,92,13,Illinois
7,Richard Anderson,Power Forward and Center,208,108,6,California
8,Ron Anderson,Small Forward,201,97,10,Illinois
9,Ryan Anderson,Power Forward and Center,206,108,12,California
10,Shandon Anderson,Shooting Guard and Small Forward,198,94,10,Georgia
11,Willie Anderson,Shooting Guard and Small Forward,201,86,9,South Carolina
12,Wally Anderzunas,Small Forward,201,99,1,
13,Martynas Andriuškevičius,Center,218,108,1,Lithuania
14,Don Anielak,Forward,201,86,1,Missouri
15,Ike Anigbogu,Center,208,113,2,California
16,Michael Ansley,Small Forward,201,102,3,Alabama
17,Chris Anstey,Center,213,112,3,Australia
18,Giannis Antetokounmpo,Power Forward,211,109,7,Greece
19,Kostas Antetokounmpo,Power Forward,208,90,2,Greece
20,Thanasis Antetokounmpo,Small Forward,198,99,2,Greece
21,Carmelo Anthony,Small Forward and Power Forward,201,107,17,New York
22,Cole Anthony,Point Guard,188,83,0,Oregon
23,Greg Anthony,Point Guard,183,79,11,Nevada
24,Joel Anthony,Center and Power Forward,206,111,10,Canada
25,Pero Antić,Center,211,117,2,Macedonia
26,OG Anunoby,Small Forward,201,105,3,United Kingdom
27,Keith Appling,Point Guard,185,83,1,Michigan
28,Rafael Araújo,Center,211,127,3,Brazil
29,Stacey Arceneaux,Forward,193,95,1,
30,Robert Archibald,Power Forward and Center,211,113,2,United Kingdom
31,Tiny Archibald,Point Guard,185,68,13,New York
32,Ryan Arcidiacono,Point Guard,190,88,3,Pennsylvania
33,Jim Ard,Center,203,97,8,Illinois
34,Gilbert Arenas,Point Guard,190,86,11,Florida
35,Trevor Ariza,Small Forward and Shooting Guard,203,97,16,Florida
36,Paul Arizin,Small Forward,193,86,10,Pennsylvania
37,Joe Arlauckas,Small Forward,206,104,1,New York
38,B.J. Armstrong,Point Guard,188,79,11,Michigan
39,Bob Armstrong,Center,203,99,1,Michigan
40,Brandon Armstrong,Shooting Guard,196,85,3,California
41,Curly Armstrong,Guard,180,77,3,Indiana
42,Darrell Armstrong,Point Guard,183,77,14,North Carolina
43,Hilton Armstrong,Center and Power Forward,211,106,6,New York
44,Tate Armstrong,Shooting Guard,190,79,2,Georgia
45,Jesse Arnelle,Power Forward,196,99,1,New York
46,Jay Arnette,Shooting Guard and Point Guard,188,79,3,Texas
47,Bob Arnzen,Small Forward,196,92,4,Kentucky
0,Carlos Arroyo,Point Guard and Shooting Guard,188,91,9,Puerto Rico
1,Darrell Arthur,Power Forward and Small Forward,206,106,9,Texas
2,John Arthurs,Guard,193,83,1,
3,Jamel Artis,Shooting Guard,201,96,1,Maryland
4,Ömer Aşık,Center,213,115,8,Turkey
5,Vincent Askew,Shooting Guard,198,95,9,Tennessee
6,Keith Askins,Small Forward,201,89,9,Alabama
7,Don Asmonga,Guard,188,83,1,Pennsylvania
8,Dick Atha,Shooting Guard,188,86,2,Indiana
9,Chucky Atkins,Point Guard and Shooting Guard,180,72,11,Florida
10,Al Attles,Point Guard,183,79,11,New Jersey
11,Chet Aubuchon,Guard,178,62,1,Indiana
12,Stacey Augmon,Shooting Guard and Small Forward,203,92,15,California
13,D.J. Augustin,Point Guard,180,83,12,Louisiana
14,James Augustine,Power Forward,208,106,2,Illinois
15,Isaac Austin,Center,208,115,9,California
16,Johnny Austin,Shooting Guard,183,77,2,District of Columbia
17,Ken Austin,Small Forward,206,92,1,California
18,Deni Avdija,Small Forward,206,95,0,Israel
19,Anthony Avent,Power Forward,206,106,6,North Carolina
20,Bird Averitt,Shooting Guard,185,77,5,Kentucky
21,William Avery,Point Guard,188,89,3,Georgia
22,Dennis Awtrey,Center,208,106,12,California
23,Gustavo Ayón,Center and Power Forward,208,113,3,Mexico
24,Jeff Ayres,Power Forward and Center,206,108,6,California
25,Deandre Ayton,Center,211,113,2,Bahamas
26,Kelenna Azubuike,Shooting Guard and Small Forward,196,99,5,United Kingdom
27,Udoka Azubuike,Center,208,127,0,Nigeria
28,Chris Babb,Shooting Guard,196,102,1,Texas
29,Luke Babbitt,Small Forward and Power Forward,206,102,8,Ohio
30,Miloš Babić,Power Forward and Center,213,108,2,Serbia
31,Johnny Bach,Forward,188,81,1,New York
32,Dwayne Bacon,Shooting Guard,198,100,3,Florida
33,Henry Bacon,Shooting Guard,190,92,1,Kentucky
34,Jim Baechtold,Small Forward,193,92,5,Pennsylvania
35,Dalibor Bagarić,Center,216,115,3,Germany
36,John Bagley,Point Guard,183,83,11,Connecticut
37,Marvin Bagley III,Power Forward and Center,211,106,2,Arizona
38,Carl Bailey,Center,213,95,1,Alabama
39,Gus Bailey,Shooting Guard,196,83,5,North Carolina
40,James Bailey,Power Forward,206,99,9,Georgia
41,Thurl Bailey,Power Forward and Small Forward,211,97,12,District of Columbia
42,Toby Bailey,Shooting Guard,198,96,2,California
43,Cameron Bairstow,Power Forward and Center,206,113,2,Australia
44,Jimmie Baker,Power Forward,206,99,1,Pennsylvania
45,Mark Baker,Point Guard,185,79,1,Ohio
46,Maurice Baker,Point Guard,185,79,1,Illinois
47,Norm Baker,Guard,183,81,1,Canada
0,Ron Baker,Shooting Guard,193,99,3,Kansas
1,Vin Baker,Power Forward and Center,211,105,13,Florida
2,Wade Baldwin,Point Guard,193,90,3,New Jersey
3,Renaldo Balkman,Small Forward and Power Forward,203,94,6,New York
4,Cedric Ball,Power Forward,203,95,1,Massachusetts
5,LaMelo Ball,Point Guard,198,81,0,California
6,Lonzo Ball,Point Guard,198,86,3,California
7,Greg Ballard,Small Forward,201,97,11,California
8,Herschel Baltimore,Forward,193,88,1,Pennsylvania
9,Mo Bamba,Center,213,104,2,New York
10,Desmond Bane,Shooting Guard,196,97,0,Indiana
11,Gene Banks,Small Forward and Power Forward,201,97,6,Pennsylvania
12,Marcus Banks,Point Guard,188,90,8,Nevada
13,Walker Banks,Center,208,92,1,
14,Ken Bannister,Power Forward,206,106,5,Maryland
15,Mike Bantom,Small Forward and Power Forward,206,90,9,Pennsylvania
16,John Barber,Forward,198,95,1,
17,Leandro Barbosa,Shooting Guard and Point Guard,190,87,14,Brazil
18,Steve Bardo,Shooting Guard,196,86,3,Kentucky
19,J.J. Barea,Point Guard and Shooting Guard,178,81,14,Puerto Rico
20,Andrea Bargnani,Power Forward and Center,213,111,10,Italy
21,Cliff Barker,Shooting Guard,188,83,3,Indiana
22,Tom Barker,Center,211,102,2,Texas
23,Charles Barkley,Power Forward and Small Forward,198,114,16,Alabama
24,Erick Barkley,Point Guard,185,80,2,New York
25,Don Barksdale,Power Forward and Small Forward,198,90,4,California
26,Harrison Barnes,Small Forward and Power Forward,203,102,8,Iowa
27,Harry Barnes,Small Forward,190,92,1,
28,Jim Barnes,Power Forward and Center,203,95,7,Arkansas
29,Marvin Barnes,Power Forward,203,95,6,Rhode Island
30,Matt Barnes,Small Forward and Power Forward,201,102,14,California
31,Dick Barnett,Shooting Guard,193,86,14,Indiana
32,Jim Barnett,Shooting Guard and Point Guard,193,77,11,South Carolina
33,Nathaniel Barnett,Point Guard,190,79,1,
34,John Barnhill,Point Guard and Shooting Guard,185,81,10,Kentucky
35,Norton Barnhill,Shooting Guard,193,92,1,North Carolina
36,Leo Barnhorst,Small Forward,193,86,5,Indiana
37,John Barr,Forward,190,92,1,Pennsylvania
38,Mike Barr,Shooting Guard,190,81,5,Ohio
39,Moe Barr,Guard,193,88,1,Pennsylvania
40,Andre Barrett,Point Guard,178,78,4,New York
41,Ernie Barrett,Shooting Guard,190,81,2,Kansas
42,Mike Barrett,Shooting Guard and Point Guard,188,70,4,West Virginia
43,RJ Barrett,Shooting Guard,198,97,1,Canada
44,Earl Barron,Center,213,113,8,Mississippi
45,Dana Barros,Point Guard and Shooting Guard,180,73,14,Massachusetts
46,Brent Barry,Shooting Guard and Small Forward,198,83,14,New York
47,Drew Barry,Point Guard and Shooting Guard,196,86,3,California
0,Jon Barry,Shooting Guard,193,88,14,California
1,Rick Barry,Small Forward,201,92,14,New Jersey
2,Ed Bartels,Forward,196,88,2,New York
3,Vic Bartolome,Center,213,104,1,
4,Will Barton,Shooting Guard and Small Forward,198,82,8,Maryland
5,Eddie Basden,Small Forward,196,97,1,New York
6,Jerry Baskerville,Small Forward,201,86,1,Pennsylvania
7,Brandon Bass,Power Forward and Center,203,113,12,Louisiana
8,Tim Bassett,Power Forward,203,102,7,District of Columbia
9,Maceo Baston,Power Forward,206,97,4,Texas
10,Mengke Bateer,Center,211,131,3,China
11,Billy Ray Bates,Shooting Guard,193,95,4,Mississippi
12,Keita Bates-Diop,Small Forward and Power Forward,203,103,2,Illinois
13,Esteban Batista,Power Forward,208,122,2,Uruguay
14,Mike Batiste,Power Forward,203,102,1,California
15,Tony Battie,Center and Power Forward,211,104,14,Texas
16,Shane Battier,Small Forward and Shooting Guard,203,99,13,Michigan
17,John Battle,Shooting Guard,188,79,10,District of Columbia
18,Kenny Battle,Shooting Guard,198,95,4,Illinois
19,Dave Batton,Center,208,108,2,Maryland
20,Lloyd Batts,Shooting Guard,193,83,1,Illinois
21,Nicolas Batum,Small Forward and Shooting Guard,203,104,12,France
22,Johnny Baum,Small Forward,196,90,5,Pennsylvania
23,Frankie Baumholtz,Guard,178,77,1,Ohio
24,Lonny Baxter,Power Forward and Center,203,117,4,Maryland
25,Jerryd Bayless,Point Guard and Shooting Guard,190,90,11,Arizona
26,Elgin Baylor,Small Forward,196,102,14,District of Columbia
27,Howard Bayne,Power Forward,198,106,1,Ohio
28,Aron Baynes,Center,208,117,8,New Zealand
29,Sergei Bazarevich,Point Guard,188,76,1,Russia
30,Kent Bazemore,Shooting Guard and Small Forward,193,88,8,North Carolina
31,Darius Bazley,Power Forward,203,94,1,Massachusetts
32,Ed Beach,Forward,190,90,1,New Jersey
33,Bradley Beal,Shooting Guard,190,93,8,Missouri
34,Al Beard,Center,206,90,1,Georgia
35,Butch Beard,Point Guard,190,83,9,Kentucky
36,Ralph Beard,Guard,178,79,2,Kentucky
37,Charles Beasley,Shooting Guard,196,86,4,Oklahoma
38,Jerome Beasley,Power Forward,208,107,1,California
39,John Beasley,Power Forward and Center,206,102,7,Texas
40,Malik Beasley,Shooting Guard,193,84,4,Georgia
41,Michael Beasley,Power Forward and Small Forward,206,106,11,Maryland
42,Zelmo Beaty,Center and Power Forward,206,102,12,Texas
43,Rodrigue Beaubois,Point Guard,183,77,4,Guadeloupe
44,Byron Beck,Center and Power Forward,206,102,10,Washington
45,Corey Beck,Point Guard,185,86,3,Tennessee
46,Ernie Beck,Shooting Guard,193,86,7,Pennsylvania
47,Arthur Becker,Power Forward and Small Forward,201,92,6,Ohio
0,Moe Becker,Guard,185,83,1,Pennsylvania
1,Bob Bedell,Power Forward,201,92,4,California
2,William Bedford,Center,213,102,6,Tennessee
3,Hank Beenders,Center,198,83,3,Netherlands
4,Ron Behagen,Power Forward,206,83,7,New York
5,Elmer Behnke,Center,201,95,1,Illinois
6,Marco Belinelli,Shooting Guard and Small Forward,196,99,13,Italy
7,Charlie Bell,Shooting Guard,190,90,7,Michigan
8,Dennis Bell,Small Forward,196,83,3,Ohio
9,Jordan Bell,Center,203,97,3,California
10,Raja Bell,Shooting Guard,196,92,12,U.S. Virgin Islands
11,Troy Bell,Point Guard,185,81,1,Minnesota
12,Whitey Bell,Point Guard,183,81,2,Kentucky
13,Walt Bellamy,Center,211,102,14,North Carolina
14,DeAndre' Bembry,Small Forward and Shooting Guard,196,95,4,North Carolina
15,Irv Bemoras,Small Forward,190,83,2,Illinois
16,Leon Benbow,Shooting Guard,193,83,2,South Carolina
17,Dragan Bender,Power Forward and Center,213,102,4,Bosnia and Herzegovina
18,Jonathan Bender,Small Forward,211,91,8,Mississippi
19,Jerrelle Benimon,Power Forward,203,111,1,Virginia
20,Benoit Benjamin,Center,213,113,15,Louisiana
21,Corey Benjamin,Shooting Guard and Point Guard,198,90,4,California
22,Anthony Bennett,Power Forward,203,111,4,Canada
23,Elmer Bennett,Point Guard,183,77,3,Illinois
24,Mario Bennett,Power Forward and Small Forward,198,106,4,Texas
25,Mel Bennett,Power Forward,201,90,5,Pennsylvania
26,Spider Bennett,Point Guard,190,86,1,New Jersey
27,Tony Bennett,Point Guard,183,79,3,Wisconsin
28,Winston Bennett,Small Forward,201,95,3,Kentucky
29,David Benoit,Small Forward,203,99,7,Louisiana
30,Keith Benson,Center,211,108,1,Ohio
31,Kent Benson,Center,208,106,11,Indiana
32,Ben Bentil,Power Forward,206,106,1,Ghana
33,Gene Berce,Guard,180,79,1,Wisconsin
34,Gary Bergen,Center,203,95,1,Missouri
35,Larry Bergh,Power Forward,203,95,1,
36,Ricky Berry,Shooting Guard,203,92,1,Michigan
37,Walter Berry,Power Forward and Small Forward,203,97,3,New York
38,Dairis Bertāns,Shooting Guard,193,90,1,Latvia
39,Dāvis Bertāns,Power Forward,208,102,4,Latvia
40,Del Beshore,Point Guard,180,74,2,Pennsylvania
41,Travis Best,Point Guard,180,82,10,Massachusetts
42,Patrick Beverley,Point Guard and Shooting Guard,185,81,8,Illinois
43,Saddiq Bey,Small Forward,201,97,0,North Carolina
44,Tyler Bey,Small Forward,201,97,0,Nevada
45,Sim Bhullar,Center,226,163,1,Canada
46,Wesley Bialosuknia,Shooting Guard,188,83,1,New York
47,Al Bianchi,Point Guard and Shooting Guard,190,83,10,New York
0,Hank Biasatti,Guard,180,79,1,Italy
1,Henry Bibby,Point Guard,185,83,9,North Carolina
2,Mike Bibby,Point Guard,185,86,14,New Jersey
3,Ed Biedenbach,Guard,185,79,1,Pennsylvania
4,Andris Biedriņš,Center,211,108,10,Latvia
5,Don Bielke,Center,201,108,1,Minnesota
6,Bob Bigelow,Small Forward,201,97,4,Massachusetts
7,Lionel Billingy,Power Forward,206,97,1,
8,Chauncey Billups,Point Guard and Shooting Guard,190,91,17,Colorado
9,Dave Bing,Point Guard and Shooting Guard,190,81,12,District of Columbia
10,Joe Binion,Power Forward,203,106,1,New York
11,Khem Birch,Center,206,105,3,Canada
12,Jabari Bird,Shooting Guard,198,89,1,California
13,Jerry Bird,Forward,198,95,1,Kentucky
14,Larry Bird,Small Forward and Power Forward,206,99,13,Indiana
15,Otis Birdsong,Shooting Guard,190,86,12,Florida
16,Gale Bishop,Forward,190,88,1,Washington
17,Goga Bitadze,Center,211,113,1,Georgia
18,Bismack Biyombo,Center,203,115,9,Democratic Republic of the Congo
19,Nemanja Bjelica,Power Forward,208,106,5,Serbia
20,Uwe Blab,Center,216,114,5,Germany
21,Charlie Black,Forward,196,90,3,Idaho
22,Norman Black,Shooting Guard,196,83,1,Maryland
23,Tarik Black,Center,206,113,4,Tennessee
24,Tom Black,Center,208,99,1,
25,Rolando Blackman,Shooting Guard,198,86,13,Panama
26,Alex Blackwell,Small Forward,198,113,1,New Jersey
27,Cory Blackwell,Small Forward,198,95,1,Illinois
28,James Blackwell,Point Guard,183,86,1,New York
29,Nate Blackwell,Point Guard,193,77,1,Pennsylvania
30,DeJuan Blair,Power Forward and Center,201,122,7,Pennsylvania
31,Steve Blake,Point Guard,190,78,13,Florida
32,Antonio Blakeney,Shooting Guard,193,87,2,New York
33,Will Blalock,Point Guard,183,92,1,Massachusetts
34,George Blaney,Point Guard,185,79,1,New Jersey
35,Lance Blanks,Shooting Guard,193,86,3,Texas
36,Ricky Blanton,Small Forward,201,97,1,Florida
37,Andray Blatche,Power Forward and Center,211,106,9,New York
38,Mookie Blaylock,Point Guard,183,81,13,Texas
39,Eric Bledsoe,Point Guard and Shooting Guard,185,97,10,Alabama
40,Keljin Blevins,Small Forward,193,90,0,Arkansas
41,Leon Blevins,Guard,188,72,1,Arkansas
42,John Block,Power Forward and Center,206,93,10,California
43,Mike Bloom,Forward,198,86,2,New York
44,Jaron Blossomgame,Small Forward,203,99,1,Georgia
45,Corie Blount,Power Forward and Center,206,108,11,California
46,Mark Blount,Center,213,104,9,New York
47,Vander Blue,Shooting Guard,193,90,3,Wisconsin
0,Ray Blume,Shooting Guard,193,83,1,Georgia
1,Nelson Bobb,Point Guard,183,77,4,Pennsylvania
2,Tony Bobbitt,Shooting Guard,193,86,1,Florida
3,Bucky Bockhorn,Shooting Guard,193,90,7,Illinois
4,Tom Boerwinkle,Center,213,120,10,Ohio
5,Keith Bogans,Shooting Guard and Small Forward,196,97,11,Virginia
6,Bogdan Bogdanović,Shooting Guard,198,99,3,Serbia
7,Bojan Bogdanović,Small Forward,201,102,6,Bosnia and Herzegovina
8,Muggsy Bogues,Point Guard,160,61,14,Maryland
9,Andrew Bogut,Center and Power Forward,213,117,14,Australia
10,Etdrick Bohannon,Power Forward and Small Forward,206,99,4,California
11,Bol Bol,Power Forward,218,99,1,Sudan
12,Manute Bol,Center,231,90,10,South Sudan
13,Jonah Bolden,Center and Power Forward,203,99,2,Australia
14,Marques Bolden,Center,208,112,1,Texas
15,Bill Bolger,Small Forward,196,92,1,New York
16,Joel Bolomboy,Power Forward,206,106,2,Ukraine
17,Doug Bolstorff,Guard,193,88,1,
18,George Bon Salle,Power Forward,203,99,1,Illinois
19,Phil Bond,Shooting Guard,188,79,1,Kentucky
20,Walter Bond,Shooting Guard,196,90,3,Illinois
21,Jordan Bone,Point Guard,188,81,1,Tennessee
22,Dexter Boney,Shooting Guard,193,83,1,Delaware
23,Isaac Bonga,Small Forward and Point Guard,203,81,2,Germany
24,Ron Bonham,Small Forward and Shooting Guard,196,87,3,Indiana
25,Anthony Bonner,Power Forward and Small Forward,203,97,6,Missouri
26,Matt Bonner,Power Forward and Center,208,106,12,New Hampshire
27,Butch Booker,Center,208,104,1,
28,Devin Booker,Shooting Guard,196,93,5,Michigan
29,Melvin Booker,Point Guard,185,83,2,Mississippi
30,Trevor Booker,Power Forward,203,103,8,South Carolina
31,Josh Boone,Power Forward and Center,208,107,4,Maryland
32,Ron Boone,Shooting Guard,188,90,13,Oklahoma
33,Calvin Booth,Center,211,104,10,Ohio
34,Keith Booth,Small Forward,198,102,2,Maryland
35,Bob Boozer,Power Forward and Small Forward,203,97,11,Nebraska
36,Carlos Boozer,Power Forward and Center,206,117,13,Germany
37,Curtis Borchardt,Center,213,108,2,New York
38,Jake Bornheimer,Forward,196,90,2,New Jersey
39,Lazaro Borrell,Small Forward,203,99,1,Cuba
40,Ike Borsavage,Center,203,99,1,Pennsylvania
41,Vince Boryla,Small Forward,196,95,5,Indiana
42,Chris Bosh,Center and Power Forward,211,106,13,Texas
43,Jim Bostic,Power Forward,201,102,1,New York
44,Lawrence Boston,Power Forward,203,102,1,Ohio
45,Tom Boswell,Power Forward,206,99,6,Alabama
46,Chris Boucher,Power Forward and Center,206,90,3,Saint Lucia
47,Ruben Boumtje-Boumtje,Center,213,116,3,Cameroon
0,Don Boven,Shooting Guard and Small Forward,193,95,3,Michigan
1,Cal Bowdler,Small Forward and Power Forward,208,111,3,Virginia
2,Brian Bowen,Small Forward,198,86,1,Michigan
3,Bruce Bowen,Small Forward,201,83,13,California
4,Ryan Bowen,Small Forward,201,97,10,Iowa
5,Tommie Bowens,Power Forward,203,99,3,Mississippi
6,Anthony Bowie,Shooting Guard,198,86,8,Oklahoma
7,Sam Bowie,Center,216,106,10,Pennsylvania
8,Orbie Bowling,Center,208,97,1,Kentucky
9,Ira Bowman,Shooting Guard and Point Guard,196,88,3,New Jersey
10,Ky Bowman,Point Guard,185,84,1,North Carolina
11,Nate Bowman,Center,208,104,6,Texas
12,Donnie Boyce,Shooting Guard,196,88,2,Illinois
13,Dennis Boyd,Point Guard,185,79,1,Virginia
14,Freddie Boyd,Point Guard and Shooting Guard,188,81,6,California
15,Ken Boyd,Small Forward,196,88,1,Maryland
16,Earl Boykins,Point Guard and Shooting Guard,165,61,13,Ohio
17,Harry Boykoff,Center,208,102,2,New York
18,Winford Boynes,Shooting Guard,198,83,3,South Carolina
19,Cedric Bozeman,Shooting Guard,198,93,1,California
20,Steve Bracey,Point Guard and Shooting Guard,185,79,3,New York
21,Craig Brackins,Power Forward,208,104,2,California
22,Gary Bradds,Power Forward and Small Forward,203,95,6,Ohio
23,Alex Bradley,Small Forward,198,97,1,Florida
24,Alonzo Bradley,Small Forward,198,86,3,Mississippi
25,Avery Bradley,Shooting Guard and Point Guard,190,81,10,Washington
26,Bill Bradley,Shooting Guard,180,74,1,
27,Bill Bradley,Small Forward,196,92,10,Missouri
28,Charles Bradley,Shooting Guard,196,97,3,Maryland
29,Dudley Bradley,Shooting Guard,198,88,9,Maryland
30,Jim Bradley,Power Forward and Small Forward,203,97,3,Indiana
31,Joe Bradley,Guard,190,79,1,Oklahoma
32,Michael Bradley,Power Forward and Center,208,111,5,Massachusetts
33,Shawn Bradley,Center,229,106,12,Germany
34,Tony Bradley,Center,208,112,3,Florida
35,Mark Bradtke,Center,208,120,1,Australia
36,Marques Bragg,Power Forward,203,104,1,New Jersey
37,Torraye Braggs,Power Forward,203,111,2,California
38,A.J. Bramlett,Center,208,102,1,Illinois
39,Adrian Branch,Small Forward,201,83,4,District of Columbia
40,Elton Brand,Power Forward and Center,203,124,17,New York
41,Terrell Brandon,Point Guard,180,81,11,Oregon
42,Bob Brannum,Power Forward,196,97,5,Kansas
43,Brad Branson,Power Forward,208,99,2,Illinois
44,Jesse Branson,Small Forward,201,88,2,North Carolina
45,Jarrell Brantley,Power Forward,196,113,1,South Carolina
46,Jim Brasco,Guard,185,77,1,New York
47,Mike Bratz,Point Guard,188,83,9,California
0,Carl Braun,Point Guard and Shooting Guard,196,81,13,New York
1,Ignas Brazdeikis,Small Forward,198,100,1,Lithuania
2,Tim Breaux,Small Forward,201,97,3,Louisiana
3,J.R. Bremer,Point Guard,188,83,2,Ohio
4,Pete Brennan,Forward,198,92,1,New York
5,Tom Brennan,Small Forward,190,88,1,New York
6,Randy Breuer,Center,221,104,11,Minnesota
7,Corey Brewer,Small Forward,206,84,13,Tennessee
8,Jamison Brewer,Point Guard and Shooting Guard,193,83,4,Georgia
9,Jim Brewer,Power Forward,206,95,9,Illinois
10,Ron Brewer,Shooting Guard,193,81,8,Arkansas
